,호선명,지하철역,무임승차율,무임하차율
0,1호선,동대문,0.3500446714739031,0.36271538332893144
1,1호선,동묘앞,0.5348545559509329,0.5234347201741857
2,1호선,서울역,0.1365542068338833,0.1346632734017386
3,1호선,시청,0.13204769579404155,0.1272927922766631
4,1호선,신설동,0.2953140098454369,0.29455476339584324
5,1호선,제기동,0.5425156078774053,0.5706887609517803
6,1호선,종각,0.13481228238805776,0.1295454790817486
7,1호선,종로3가,0.38912973874619644,0.3956567098122729
8,1호선,종로5가,0.36829924274058384,0.35735912548064236
9,1호선,청량리(서울시립대입구),0.4295599873744857,0.4332329408302544
10,2호선,강남,0.0684650261330168,0.06161950827704233
11,2호선,강변(동서울터미널),0.12381957977036871,0.1261058713550323
12,2호선,건대입구,0.08263229495253244,0.08039588239544956
13,2호선,교대(법원.검찰청),0.16554286250647546,0.16506465729621655
14,2호선,구로디지털단지,0.10828635584089934,0.10974894271351214
15,2호선,구의(광진구청),0.15057895615225,0.15611186805078262
16,2호선,낙성대(강감찬),0.13103676110399065,0.137664058784596
17,2호선,당산,0.1110045921902159,0.10523308794869414
18,2호선,대림(구로구청),0.17571201821885354,0.17754346862360507
19,2호선,도림천,0.217908434631138,0.227498198830595
20,2호선,동대문역사문화공원(DDP),0.14105156342657546,0.1342491966407138
21,2호선,뚝섬,0.09055598953073128,0.08621312236094775
22,2호선,문래,0.14349920359199234,0.1381030492148652
23,2호선,방배,0.1517128230640474,0.14526910042096017
24,2호선,봉천,0.21105422493188683,0.22749011266752592
25,2호선,사당,0.1759072144537176,0.15412076165671
26,2호선,삼성(무역센터),0.07674053653830212,0.07093972272961639
27,2호선,상왕십리,0.1606757858357188,0.16870369715511005
28,2호선,서울대입구(관악구청),0.12942436775974567,0.12620703361442773
29,2호선,서초,0.13480930038061606,0.14148165402216262
30,2호선,선릉,0.1402247640763626,0.13954723505038483
31,2호선,성수,0.0955572977209047,0.08856095127183165
32,2호선,시청,0.08439029278852084,0.08031955213028091
33,2호선,신답,0.20241986380931984,0.19721419030558765
34,2호선,신당,0.22571471891144876,0.22062477287972485
35,2호선,신대방,0.16539000924770095,0.17386850417711155
36,2호선,신도림,0.1425662766608831,0.1355492758537036
37,2호선,신림,0.11955436092214462,0.12370269984001282
38,2호선,신설동,0.2945451949342004,0.31435026721931997
39,2호선,신정네거리,0.23563483578828762,0.2357504224137754
40,2호선,신촌,0.11042235934207308,0.10698254335930461
41,2호선,아현,0.20739345769987982,0.21691298966467684
42,2호선,양천구청,0.24642004276766483,0.2422141813886752
43,2호선,역삼,0.10609296122897806,0.09568831444375554
44,2호선,영등포구청,0.1622300380247144,0.15603786463595073
45,2호선,왕십리(성동구청),0.10841077426401963,0.10937270612032861
46,2호선,용답,0.20060249916225203,0.20058875538689455
47,2호선,용두(동대문구청),0.3329114344875696,0.34883369542478926
48,2호선,을지로3가,0.1151290676811254,0.11317990191922862
49,2호선,을지로4가,0.21232217313984184,0.20690461195762708
50,2호선,을지로입구,0.08123143133197881,0.07434083558168104
51,2호선,이대,0.10846574399041901,0.10601896155462087
52,2호선,잠실(송파구청),0.08925920141307554,0.08621452189016476
53,2호선,잠실나루,0.20585452250339534,0.210848777793602
54,2호선,잠실새내,0.1667273404322159,0.1654542678886612
55,2호선,종합운동장,0.15033096259578788,0.14181862212209226
56,2호선,충정로(경기대입구),0.17096300447052346,0.16134102994499946
57,2호선,한양대,0.04658257992578196,0.04482597750424382
58,2호선,합정,0.07215177426983574,0.06672709252446972
59,2호선,홍대입구,0.049148738859317254,0.044342969176426654
60,3호선,가락시장,0.2935071113581728,0.291791231823202
61,3호선,경복궁(정부서울청사),0.1447955843810955,0.14397744169046656
62,3호선,경찰병원,0.20485934161407937,0.21058537445967065
63,3호선,고속터미널,0.13376737882168327,0.13213291642585376
64,3호선,교대(법원.검찰청),0.1754365695617914,0.1639919486844332
65,3호선,구파발,0.19468574243510325,0.19261359236671613
66,3호선,금호,0.2287889344965024,0.24262383141552113
67,3호선,남부터미널(예술의전당),0.13947374977609853,0.13856395613245956
68,3호선,녹번,0.1722754330244759,0.18924231603421982
69,3호선,대청,0.20405808810867024,0.2102783765068221
70,3호선,대치,0.19093690288146545,0.18709403059732385
71,3호선,도곡,0.16695232051992692,0.15611943358334363
72,3호선,독립문,0.31302716068154024,0.30325182262372236
73,3호선,동대입구,0.1362975602966071,0.13654559963749044
74,3호선,매봉,0.1853321981074181,0.17923824722828555
75,3호선,무악재,0.2568489956141351,0.2760624036968189
76,3호선,불광,0.2896680379391461,0.2959703073257634
77,3호선,수서,0.20824701297137935,0.2027467199724519
78,3호선,신사,0.08275984842607073,0.07717522824409745
79,3호선,안국,0.1387786533942195,0.137295685571149
80,3호선,압구정,0.14614957262879866,0.1337161481266896
81,3호선,약수,0.21629339412120832,0.2112272181713316
82,3호선,양재(서초구청),0.1428921097949643,0.13195757496417485
83,3호선,연신내,0.2433716824544561,0.24792545373742572
84,3호선,오금,0.1673182264761505,0.1777296172261937
85,3호선,옥수,0.22527558806915907,0.22106707624208377
86,3호선,을지로3가,0.1620858964864826,0.15194673772215697
87,3호선,일원,0.21999851299115403,0.22728165224047084
88,3호선,잠원,0.21320389593934796,0.2126859794515489
89,3호선,종로3가,0.20861654219469042,0.19393587026737705
90,3호선,지축,0.17888645631528802,0.17995059231362906
91,3호선,충무로,0.06123674016061234,
92,3호선,학여울,0.24489076978947755,0.2351726115834174
93,3호선,홍제,0.27021629665499447,0.2801967901391122
94,4호선,길음,0.19018963550786702,0.19368580748607925
95,4호선,남태령,0.21698433584955343,0.24162011025051963
