,호선,역명,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
105,4호선,삼각지,35.99,135.73,179.73,235.58,351.69,457.81,563.12,701.07,723.27,717.04,757.37,860.77,879.86,745.86,545.89,506.34,484.23,433.01,259.58,18.42,17-18시간대
106,4호선,상계,290.32,579.85,803.35,1331.13,1631.82,1617.54,1538.91,1699.22,1714.1,1609.21,1627.16,1779.43,1814.19,1617.33,1274.54,1100.01,1110.8,989.66,626.59,15.02,17-18시간대
107,4호선,서울역,146.7,566.46,567.97,785.06,1179.64,1156.33,1306.4,1625.66,1547.09,1468.44,1568.69,1684.16,1853.36,1541.45,1347.35,1136.08,1037.99,748.92,402.77,68.03,17-18시간대
108,4호선,성신여대입구(돈암),188.36,456.12,599.53,1047.23,1394.62,1501.96,1688.62,2042.28,2209.65,2126.22,2164.05,2339.38,2514.82,2237.91,1824.5,1627.33,1666.51,1534.36,877.31,9.27,17-18시간대
109,4호선,수유(강북구청),557.41,1100.58,1436.18,2305.14,2719.61,2733.14,2737.86,3047.1,3201.1,3107.26,3201.09,3567.04,3644.51,3474.83,2845.71,2512.08,2537.65,2210.9,1369.79,20.15,17-18시간대
110,4호선,숙대입구(갈월),84.13,256.33,357.7,732.04,921.42,1073.74,1132.67,1467.82,1378.47,1370.88,1317.77,1531.35,1556.98,1398.13,1050.25,1051.22,931.49,816.72,437.12,4.84,17-18시간대
111,4호선,신용산,65.73,275.28,435.03,702.2,995.87,1163.09,1420.76,1652.65,1812.96,1792.33,1989.91,2167.44,2206.4,1778.57,1407.36,1364.77,1270.38,876.28,400.6,4.57,17-18시간대
112,4호선,쌍문,511.93,950.21,1272.46,2014.64,2327.84,2351.42,2310.35,2485.72,2475.05,2346.62,2357.1,2576.3,2591.62,2404.66,1986.18,1794.45,1768.09,1536.96,988.44,42.32,17-18시간대
113,4호선,이촌(국립중앙박물관),55.35,227.49,272.33,551.03,932.07,1061.68,1121.04,1383.11,1552.92,1547.89,1602.96,1663.03,1581.73,1239.7,710.59,577.19,512.1,317.31,164.28,4.34,16-17시간대
114,4호선,창동,454.81,731.96,992.35,1655.38,2046.12,2315.67,2201.55,2507.35,2678.49,2655.52,2701.28,2838.93,2837.87,2761.81,1951.88,1650.71,1588.39,1302.2,813.84,142.03,16-17시간대
115,4호선,총신대입구(이수),169.73,451.65,587.4,1030.76,1492.7,1622.56,1697.87,1938.42,2046.12,1956.93,1986.19,2163.27,2184.86,1960.98,1452.66,1278.07,1198.78,984.63,556.66,29.89,17-18시간대
116,4호선,충무로,165.32,439.95,567.27,984.11,1204.41,1435.47,1723.44,1872.88,2077.9,2061.2,2065.84,2131.61,2170.48,1769.3,1311.22,1185.56,1097.08,974.45,601.58,31.35,17-18시간대
117,4호선,한성대입구(삼선교),170.45,347.74,451.63,814.88,1138.89,1212.23,1280.63,1412.43,1507.98,1432.4,1424.03,1509.68,1503.39,1238.61,970.04,891.54,855.76,724.98,435.78,256.29,16-17시간대
118,4호선,혜화,167.16,557.18,668.5,1080.65,1617.33,2156.65,3100.76,4208.91,5398.48,4940.07,4691.58,5412.17,5793.43,4299.92,3458.77,3818.72,3938.59,2847.36,1226.23,65.0,17-18시간대
119,4호선,회현(남대문시장),59.73,364.59,488.88,901.42,2008.21,2133.03,2583.69,2687.28,2855.73,3027.59,3008.7,2955.19,2596.9,2235.72,1379.17,1456.78,628.03,365.38,161.13,18.57,14-15시간대
120,5호선,강동,267.87,521.86,711.37,1095.78,1256.53,1383.73,1458.51,1628.88,1707.23,1590.03,1613.35,1675.64,1660.12,1398.9,1122.5,1007.44,951.83,852.05,545.11,115.75,13-14시간대
121,5호선,강일,65.78,144.58,214.77,330.85,383.92,417.8,386.57,420.26,386.95,395.28,421.49,413.14,432.25,358.3,301.68,270.13,242.5,244.35,138.03,1.44,17-18시간대
122,5호선,개롱,89.21,171.54,239.0,402.81,494.42,490.67,498.75,536.52,595.45,524.73,514.5,594.14,564.08,487.46,405.73,313.73,341.98,311.97,158.35,19.55,13-14시간대
123,5호선,개화산,105.03,201.94,245.45,377.09,417.56,417.2,427.26,468.89,450.36,431.52,447.17,476.61,485.42,427.62,334.99,295.43,288.65,251.24,150.23,25.09,17-18시간대
124,5호선,거여,148.34,278.76,391.02,628.16,724.9,707.42,718.62,733.35,817.35,712.16,734.48,841.65,794.36,735.82,578.25,478.0,529.09,436.95,244.73,56.64,16-17시간대
125,5호선,고덕,110.75,227.54,321.06,507.37,635.48,692.81,700.99,796.28,884.42,779.93,849.13,882.0,824.85,781.62,546.3,495.9,494.96,400.18,236.19,52.73,13-14시간대
126,5호선,공덕,68.18,202.99,271.62,501.82,650.22,727.62,833.22,977.45,978.3,956.58,967.64,1041.11,1090.46,907.23,697.2,646.76,654.02,541.43,301.09,6.43,17-18시간대
127,5호선,광나루(장신대),164.42,421.04,552.35,923.51,1248.43,1361.71,1228.29,1329.04,1385.27,1358.05,1355.85,1505.46,1420.86,1185.35,864.57,903.56,873.83,640.09,330.08,27.54,16-17시간대
128,5호선,광화문(세종문화회관),61.15,518.1,567.14,996.26,1388.67,1780.35,2327.79,2758.47,3080.2,3223.02,3259.61,3501.36,3362.21,2775.96,1932.08,1733.39,1558.12,991.57,323.41,39.72,16-17시간대
129,5호선,군자(능동),173.36,358.89,419.51,662.0,790.78,811.24,883.02,1037.13,1130.04,1083.75,1110.1,1247.94,1340.91,1191.69,971.42,884.92,882.23,760.83,525.13,129.63,17-18시간대
130,5호선,굽은다리(강동구민회관앞),159.58,269.88,403.58,662.59,745.28,797.35,835.79,893.54,964.12,891.88,883.61,966.89,897.85,867.79,689.5,553.96,631.88,502.79,252.67,65.58,16-17시간대
131,5호선,길동,117.8,239.98,336.48,501.36,614.81,651.8,692.52,781.41,766.66,760.49,733.07,819.65,807.94,721.23,586.53,480.67,472.28,406.36,191.96,61.63,16-17시간대
132,5호선,김포공항,79.43,294.73,303.91,472.26,593.52,772.69,1021.19,1103.48,1214.25,1286.03,1328.66,1324.58,1278.5,1133.9,844.07,662.73,576.5,481.2,166.88,9.01,15-16시간대
133,5호선,까치산,581.37,891.04,1172.12,1889.47,2231.14,2127.0,2219.42,2438.99,2427.92,2341.36,2400.05,2658.83,2670.65,2475.27,2045.42,1893.02,1942.5,1558.21,1025.06,106.96,17-18시간대
134,5호선,답십리,218.22,451.3,580.66,988.44,1140.29,1184.61,1183.72,1311.96,1382.25,1257.08,1314.69,1413.63,1392.82,1160.26,933.12,798.64,792.73,691.27,412.42,21.1,16-17시간대
135,5호선,동대문역사문화공원(DDP),12.58,49.3,74.28,129.24,122.63,144.36,171.55,176.84,168.69,178.63,188.27,202.81,217.0,167.36,125.04,115.49,114.16,101.34,62.09,5.33,17-18시간대
136,5호선,둔촌동,105.43,272.06,307.26,514.33,621.6,684.26,715.42,799.42,886.17,802.07,850.43,876.8,885.78,786.66,571.7,501.76,468.49,378.74,226.57,1.31,13-14시간대
137,5호선,마곡,96.2,216.96,270.69,458.04,583.68,571.37,629.84,720.57,753.84,727.54,724.41,815.26,760.96,642.52,495.77,435.16,412.4,352.99,189.93,16.19,16-17시간대
138,5호선,마장,69.51,163.62,215.46,347.45,425.28,459.35,467.33,526.09,512.41,490.5,502.77,521.15,532.44,465.42,358.95,301.39,292.04,246.96,154.35,6.51,17-18시간대
139,5호선,마천,146.18,244.48,352.48,541.66,662.8,642.81,552.94,590.53,610.91,546.56,603.66,623.28,620.67,569.81,424.66,394.67,381.24,303.29,209.65,50.22,09-10시간대
140,5호선,마포,86.05,275.47,331.69,579.08,734.25,757.47,880.5,1000.17,983.24,926.62,929.42,1065.71,1128.71,949.41,751.4,706.01,725.56,564.78,297.89,5.16,17-18시간대
141,5호선,명일,134.42,250.75,353.65,633.58,658.26,888.11,772.23,840.84,865.38,769.04,795.51,859.81,759.03,783.11,566.96,481.58,509.46,390.34,253.24,56.63,10-11시간대
142,5호선,목동,208.2,370.01,551.99,962.2,1134.1,1150.46,1166.8,1344.73,1426.37,1313.79,1341.99,1466.83,1538.12,1409.75,1087.89,967.47,1005.96,890.04,479.69,49.88,17-18시간대
143,5호선,미사,144.09,375.65,607.64,982.92,1252.1,1313.17,1370.19,1525.47,1508.92,1565.4,1527.57,1723.74,1763.27,1521.04,1401.4,1237.96,1184.17,1092.21,650.69,7.41,17-18시간대
144,5호선,발산,125.49,390.41,519.65,869.02,1153.0,1266.53,1582.05,1826.7,1960.17,1947.87,2011.15,2094.27,2018.58,1778.42,1405.35,1200.58,1177.21,1040.4,476.61,27.48,16-17시간대
145,5호선,방이,74.07,191.22,225.16,406.89,616.14,601.43,552.19,729.88,765.14,691.46,641.23,705.5,765.15,626.77,484.07,408.67,440.14,439.87,170.5,1.59,17-18시간대
146,5호선,방화,114.71,242.61,281.46,437.15,532.04,537.13,557.14,597.48,612.42,594.83,609.73,626.58,593.67,555.69,430.55,374.26,345.12,328.7,179.49,39.76,16-17시간대
147,5호선,상일동,206.82,357.2,586.92,835.42,990.88,1028.69,985.68,1118.3,1082.77,1019.27,1138.83,1119.98,1223.77,1082.87,790.09,768.14,704.87,598.04,453.14,156.09,17-18시간대
148,5호선,서대문,84.66,254.53,423.12,714.64,838.02,882.3,956.04,1098.41,1110.31,1042.04,997.35,1126.69,1052.21,832.62,605.73,561.2,535.23,445.35,230.27,15.44,16-17시간대
149,5호선,송정,110.16,216.8,278.33,453.74,533.62,561.05,556.61,582.06,587.05,561.46,587.94,642.99,630.9,594.58,467.2,419.24,414.68,354.62,204.01,18.42,16-17시간대
150,5호선,신금호,74.09,161.83,239.04,377.67,458.23,479.62,473.73,529.84,550.17,511.55,525.54,571.34,593.36,505.19,398.32,354.64,332.95,291.1,185.7,12.92,17-18시간대
151,5호선,신길,56.4,108.26,136.7,239.9,288.73,300.83,300.45,323.9,323.73,322.14,364.03,387.82,402.23,352.06,297.57,288.97,312.87,291.59,195.85,4.69,17-18시간대
152,5호선,신정(은행정),256.72,417.3,569.67,869.67,974.49,923.06,908.81,976.51,973.45,912.46,953.15,1028.79,1044.26,918.52,756.85,670.07,711.61,628.06,393.47,41.79,17-18시간대
153,5호선,아차산(어린이대공원후문),231.71,451.75,601.99,1012.26,1449.66,1602.32,1591.85,1672.12,1813.37,1765.28,1792.6,1899.78,1815.79,1524.36,1184.15,977.19,936.39,688.27,389.81,39.72,16-17시간대
154,5호선,애오개,61.12,143.69,204.0,316.21,430.58,406.74,432.6,482.59,479.29,466.01,454.5,494.84,481.91,422.55,336.59,296.71,272.08,226.92,148.64,66.71,16-17시간대
