,역명,호선,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
56,충정로(경기대입구),2호선,155.63,540.15,1661.3,3714.4,1749.07,846.49,767.12,745.54,837.53,849.85,904.3,1111.12,1806.81,2968.73,1196.76,758.47,751.93,624.45,355.35,113.93,08-09시간대
57,한양대,2호선,53.97,328.73,735.26,2734.44,2476.9,2031.29,1084.96,1784.87,1640.43,1511.62,1501.87,1844.36,2509.74,2263.12,1083.3,826.13,868.3,657.88,417.19,110.53,08-09시간대
58,합정,2호선,410.05,1231.66,3240.82,6590.9,4961.23,2644.73,2396.91,2513.2,2811.17,2799.81,2936.14,3566.79,5273.32,9069.38,5754.88,3459.63,3444.78,3240.57,1844.95,551.58,18-19시간대
59,홍대입구,2호선,796.25,1621.09,4149.98,7901.1,7285.44,4754.72,4933.12,5641.19,6324.12,6226.48,6989.98,8369.61,10871.32,14634.9,10544.5,7441.76,7794.4,7583.3,4266.63,1097.49,18-19시간대
60,가락시장,3호선,126.25,515.46,1373.93,2226.77,1241.27,899.03,862.77,863.39,870.66,910.15,1015.78,1154.59,1552.1,2221.17,1184.97,784.07,683.71,575.1,277.37,88.4,08-09시간대
61,경복궁(정부서울청사),3호선,168.0,810.58,2320.32,6314.52,3939.64,2585.6,2453.05,2420.4,2560.94,2642.27,2852.54,3252.16,4151.14,5813.13,2528.18,1805.94,1791.02,1316.61,574.74,103.5,08-09시간대
62,경찰병원,3호선,120.62,425.33,1374.45,2370.31,1202.66,758.02,618.38,603.46,676.17,648.69,715.98,740.39,1232.01,1779.16,970.16,607.83,520.8,458.15,227.5,67.54,08-09시간대
63,고속터미널,3호선,318.1,1412.29,2781.91,4472.65,4923.21,4755.37,5259.47,5319.58,5535.29,5941.69,6530.01,6852.87,8028.82,8579.92,6106.11,5375.4,3555.02,2406.01,1019.0,169.07,18-19시간대
64,교대(법원.검찰청),3호선,79.79,422.67,1238.12,2750.0,2037.19,1163.63,1022.94,1030.93,1218.34,1331.08,1386.44,1526.48,2531.63,3754.31,1608.45,1213.31,1243.84,1106.59,421.71,71.63,18-19시간대
65,구파발,3호선,475.02,1727.78,4777.31,4453.06,2585.63,1944.29,1752.68,1830.71,1828.4,1888.55,2032.58,2510.73,2936.05,4140.52,3222.87,1863.13,1659.93,1425.48,867.56,339.29,07-08시간대
66,금호,3호선,197.31,499.84,1311.71,1940.17,1128.67,732.75,638.84,672.44,696.84,680.72,792.11,936.92,1200.69,1676.03,1123.93,744.09,622.17,598.38,301.28,81.29,08-09시간대
