,호선,역명,고유역번호(외부역코드),요일,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,총 이용인원,위도,경도,location
17,1호선,동대문,155,5.0,하차,2534.0,8951.0,12768.0,21163.0,27283.0,37003.0,51727.0,56325.0,50794.0,47895.0,45508.0,43622.0,41197.0,32577.0,24924.0,21121.0,19811.0,16996.0,11689.0,2702.0,576590.0,37.57179,127.011383,"(37.57179, 127.011383)"
18,1호선,동대문,155,6.0,승차,6723.0,7186.0,8819.0,15487.0,23235.0,29954.0,31452.0,46530.0,53876.0,56637.0,57276.0,51605.0,41773.0,32943.0,25355.0,20363.0,17372.0,12945.0,5888.0,298.0,545717.0,37.57179,127.011383,"(37.57179, 127.011383)"
19,1호선,동대문,155,6.0,승하차 차이,5012.0,249.0,-711.0,-1183.0,-8023.0,-19058.0,-27406.0,-12342.0,1053.0,9720.0,17931.0,17012.0,11399.0,5970.0,-4587.0,-3042.0,-1550.0,-4018.0,-9314.0,-2374.0,-25262.0,37.57179,127.011383,"(37.57179, 127.011383)"
20,1호선,동대문,155,6.0,하차,1711.0,6937.0,9530.0,16670.0,31258.0,49012.0,58858.0,58872.0,52823.0,46917.0,39345.0,34593.0,30374.0,26973.0,29942.0,23405.0,18922.0,16963.0,15202.0,2672.0,570979.0,37.57179,127.011383,"(37.57179, 127.011383)"
21,1호선,동묘앞,159,0.0,승차,5769.0,6800.0,13026.0,20521.0,15203.0,14689.0,20736.0,28023.0,38582.0,40788.0,42872.0,45562.0,45443.0,30717.0,14748.0,9508.0,8618.0,5921.0,2314.0,337.0,410177.0,37.573265,127.016459,"(37.573265, 127.016459)"
22,1호선,동묘앞,159,0.0,승하차 차이,3963.0,-1533.0,-2892.0,-16941.0,-11289.0,-10499.0,-12621.0,-10250.0,-7521.0,-95.0,6185.0,17508.0,22374.0,10880.0,1117.0,581.0,-330.0,-3779.0,-3828.0,-2272.0,-21242.0,37.573265,127.016459,"(37.573265, 127.016459)"
23,1호선,동묘앞,159,0.0,하차,1806.0,8333.0,15918.0,37462.0,26492.0,25188.0,33357.0,38273.0,46103.0,40883.0,36687.0,28054.0,23069.0,19837.0,13631.0,8927.0,8948.0,9700.0,6142.0,2609.0,431419.0,37.573265,127.016459,"(37.573265, 127.016459)"
24,1호선,동묘앞,159,1.0,승차,5963.0,7116.0,13770.0,22657.0,15925.0,14935.0,20564.0,27359.0,39844.0,40179.0,42391.0,48394.0,45740.0,32790.0,16136.0,9955.0,9215.0,6512.0,2605.0,395.0,422445.0,37.573265,127.016459,"(37.573265, 127.016459)"
25,1호선,동묘앞,159,1.0,승하차 차이,4111.0,-1260.0,-3980.0,-19212.0,-11948.0,-10471.0,-12429.0,-10470.0,-6274.0,432.0,6286.0,20065.0,22436.0,12239.0,2010.0,610.0,-71.0,-3897.0,-4456.0,-2344.0,-18623.0,37.573265,127.016459,"(37.573265, 127.016459)"
26,1호선,동묘앞,159,1.0,하차,1852.0,8376.0,17750.0,41869.0,27873.0,25406.0,32993.0,37829.0,46118.0,39747.0,36105.0,28329.0,23304.0,20551.0,14126.0,9345.0,9286.0,10409.0,7061.0,2739.0,441068.0,37.573265,127.016459,"(37.573265, 127.016459)"
27,1호선,동묘앞,159,2.0,승차,5893.0,7084.0,13650.0,22437.0,15935.0,15135.0,21473.0,30017.0,40209.0,41753.0,46185.0,50044.0,48488.0,33240.0,16143.0,10305.0,8958.0,6844.0,2546.0,418.0,436757.0,37.573265,127.016459,"(37.573265, 127.016459)"
28,1호선,동묘앞,159,2.0,승하차 차이,3998.0,-1506.0,-4122.0,-19614.0,-13493.0,-10718.0,-12953.0,-9189.0,-8629.0,-390.0,8312.0,20877.0,24704.0,12474.0,2283.0,919.0,-276.0,-3901.0,-4711.0,-2693.0,-18628.0,37.573265,127.016459,"(37.573265, 127.016459)"
29,1호선,동묘앞,159,2.0,하차,1895.0,8590.0,17772.0,42051.0,29428.0,25853.0,34426.0,39206.0,48838.0,42143.0,37873.0,29167.0,23784.0,20766.0,13860.0,9386.0,9234.0,10745.0,7257.0,3111.0,455385.0,37.573265,127.016459,"(37.573265, 127.016459)"
30,1호선,동묘앞,159,3.0,승차,6057.0,7224.0,13745.0,22786.0,16037.0,15547.0,22004.0,31667.0,38609.0,40298.0,45693.0,49780.0,47753.0,32789.0,16318.0,10741.0,9302.0,6821.0,2841.0,417.0,436429.0,37.573265,127.016459,"(37.573265, 127.016459)"
31,1호선,동묘앞,159,3.0,승하차 차이,4116.0,-1270.0,-4392.0,-19215.0,-13125.0,-10662.0,-12968.0,-7023.0,-8599.0,-699.0,8361.0,20545.0,23593.0,12159.0,2162.0,1239.0,-227.0,-4339.0,-4456.0,-3120.0,-17920.0,37.573265,127.016459,"(37.573265, 127.016459)"
32,1호선,동묘앞,159,3.0,하차,1941.0,8494.0,18137.0,42001.0,29162.0,26209.0,34972.0,38690.0,47208.0,40997.0,37332.0,29235.0,24160.0,20630.0,14156.0,9502.0,9529.0,11160.0,7297.0,3537.0,454349.0,37.573265,127.016459,"(37.573265, 127.016459)"
33,1호선,동묘앞,159,4.0,승차,5835.0,7062.0,13410.0,21969.0,15880.0,16931.0,22755.0,33902.0,38849.0,43145.0,47570.0,53350.0,51983.0,39020.0,18776.0,11679.0,10510.0,7576.0,3247.0,519.0,463968.0,37.573265,127.016459,"(37.573265, 127.016459)"
34,1호선,동묘앞,159,4.0,승하차 차이,3917.0,-1646.0,-4528.0,-19967.0,-13600.0,-12504.0,-14603.0,-7300.0,-10587.0,-1568.0,6979.0,21442.0,25703.0,17975.0,4450.0,2369.0,717.0,-3335.0,-4986.0,-4201.0,-15273.0,37.573265,127.016459,"(37.573265, 127.016459)"
35,1호선,동묘앞,159,4.0,하차,1918.0,8708.0,17938.0,41936.0,29480.0,29435.0,37358.0,41202.0,49436.0,44713.0,40591.0,31908.0,26280.0,21045.0,14326.0,9310.0,9793.0,10911.0,8233.0,4720.0,479241.0,37.573265,127.016459,"(37.573265, 127.016459)"
36,1호선,동묘앞,159,5.0,승차,4587.0,4761.0,5939.0,9568.0,15893.0,23439.0,36863.0,51507.0,64458.0,78012.0,82953.0,80826.0,64610.0,41439.0,18621.0,9703.0,8447.0,5715.0,2513.0,148.0,610002.0,37.573265,127.016459,"(37.573265, 127.016459)"
37,1호선,동묘앞,159,5.0,승하차 차이,2517.0,-3958.0,-5428.0,-10499.0,-15557.0,-29888.0,-37265.0,-27423.0,-15686.0,2662.0,19796.0,37545.0,36665.0,26010.0,7772.0,409.0,-1013.0,-4133.0,-4507.0,-3408.0,-25389.0,37.573265,127.016459,"(37.573265, 127.016459)"
38,1호선,동묘앞,159,5.0,하차,2070.0,8719.0,11367.0,20067.0,31450.0,53327.0,74128.0,78930.0,80144.0,75350.0,63157.0,43281.0,27945.0,15429.0,10849.0,9294.0,9460.0,9848.0,7020.0,3556.0,635391.0,37.573265,127.016459,"(37.573265, 127.016459)"
39,1호선,동묘앞,159,6.0,승차,2567.0,3053.0,4455.0,8115.0,15646.0,25394.0,41280.0,59189.0,74753.0,89004.0,93179.0,84963.0,64636.0,39857.0,15652.0,7768.0,5653.0,3870.0,1492.0,80.0,640606.0,37.573265,127.016459,"(37.573265, 127.016459)"
40,1호선,동묘앞,159,6.0,승하차 차이,766.0,-3444.0,-3984.0,-9251.0,-19593.0,-39728.0,-45394.0,-28082.0,-11996.0,9431.0,30918.0,46214.0,42577.0,27114.0,5875.0,-1218.0,-2536.0,-4569.0,-4248.0,-2130.0,-13278.0,37.573265,127.016459,"(37.573265, 127.016459)"
41,1호선,동묘앞,159,6.0,하차,1801.0,6497.0,8439.0,17366.0,35239.0,65122.0,86674.0,87271.0,86749.0,79573.0,62261.0,38749.0,22059.0,12743.0,9777.0,8986.0,8189.0,8439.0,5740.0,2210.0,653884.0,37.573265,127.016459,"(37.573265, 127.016459)"
42,1호선,서울역,150,0.0,승차,16411.0,25479.0,95739.0,147486.0,105741.0,96416.0,120983.0,130274.0,129822.0,110107.0,141706.0,166718.0,282845.0,415465.0,193151.0,130182.0,129323.0,77913.0,33528.0,3573.0,2552862.0,37.55315,126.972533,"(37.55315, 126.972533)"
43,1호선,서울역,150,0.0,승하차 차이,-915.0,-75386.0,-121825.0,-297942.0,-178286.0,-36901.0,6939.0,9024.0,14101.0,8055.0,28722.0,52779.0,147903.0,268852.0,103563.0,67458.0,76273.0,42185.0,15345.0,-483.0,129461.0,37.55315,126.972533,"(37.55315, 126.972533)"
44,1호선,서울역,150,0.0,하차,17326.0,100865.0,217564.0,445428.0,284027.0,133317.0,114044.0,121250.0,115721.0,102052.0,112984.0,113939.0,134942.0,146613.0,89588.0,62724.0,53050.0,35728.0,18183.0,4056.0,2423401.0,37.55315,126.972533,"(37.55315, 126.972533)"
45,1호선,서울역,150,1.0,승차,16708.0,25253.0,88320.0,142517.0,102241.0,93453.0,112368.0,124784.0,125880.0,109558.0,143589.0,173574.0,301442.0,444216.0,200692.0,134351.0,136365.0,84173.0,36980.0,3424.0,2599888.0,37.55315,126.972533,"(37.55315, 126.972533)"
46,1호선,서울역,150,1.0,승하차 차이,2135.0,-62606.0,-138002.0,-347660.0,-199618.0,-40965.0,3194.0,10777.0,13257.0,10984.0,32810.0,58308.0,162951.0,290450.0,112568.0,73724.0,80902.0,43495.0,15570.0,-1321.0,120953.0,37.55315,126.972533,"(37.55315, 126.972533)"
47,1호선,서울역,150,1.0,하차,14573.0,87859.0,226322.0,490177.0,301859.0,134418.0,109174.0,114007.0,112623.0,98574.0,110779.0,115266.0,138491.0,153766.0,88124.0,60627.0,55463.0,40678.0,21410.0,4745.0,2478935.0,37.55315,126.972533,"(37.55315, 126.972533)"
48,1호선,서울역,150,2.0,승차,16409.0,24736.0,84008.0,137724.0,101961.0,93486.0,112857.0,126959.0,128388.0,111708.0,145373.0,178301.0,307512.0,438540.0,196985.0,132872.0,137601.0,86680.0,38602.0,3956.0,2604658.0,37.55315,126.972533,"(37.55315, 126.972533)"
49,1호선,서울역,150,2.0,승하차 차이,2003.0,-61412.0,-137477.0,-347303.0,-201498.0,-41312.0,1646.0,9367.0,10738.0,10772.0,31245.0,58158.0,163580.0,279760.0,104559.0,68499.0,78589.0,42568.0,15024.0,-1263.0,86243.0,37.55315,126.972533,"(37.55315, 126.972533)"
